Column1,ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin,combined_text,Recommendations
12,100013,Mechanical Engineering,Entrepreneurship,Other,Male,Renewable Energy Engineer,Germany,Renewable Energy Engineer Mechanical Engineering Entrepreneurship Other,"['Commercializing Technology Innovations: Turning Visions into Value', 'New Ventures Develop', 'Climate Tech Startups and Investors', 'Introduction to Robotics and Automation', 'History of Computing, Cryptography, and Robotic Devices']"
17,100018,Computational Mechanics and Scientific Computing,Metalworking,Judo,Male,Computer Vision Engineer,China,Computer Vision Engineer Computational Mechanics and Scientific Computing Metalworking Judo,"['Introduction to Computer Vision', 'Introduction to Microelectronic Devices and Circuits', 'Writing about Performance', 'Deep Learning Applications', 'Data Science']"
20,100021,Mechanical Engineering,Dance,Exercise,Male,Renewable Energy Engineer,Australia,Renewable Energy Engineer Mechanical Engineering Dance Exercise,"['Introduction to Quantum Engineering', 'The Arts, Culture, and Performance of New York', 'Climate Tech Startups and Investors', 'Introduction to Robotics and Automation', 'History of Computing, Cryptography, and Robotic Devices']"
21,100022,Game Design Development and Innovation,Hiking,Video Gaming,Male,Climate Change Analyst,Australia,Climate Change Analyst Game Design Development and Innovation Hiking Video Gaming,"['Applying Machine Learning to Advance Cybersecurity', 'AIPI Seminar', 'Fundamentals of Game Development', 'Data Science', 'Resource & Environmental Economics I']"
23,100024,Biomedical Engineering,Model Building,Weaving,Male,Sustainable Building Design Engineer,Turkey,Sustainable Building Design Engineer Biomedical Engineering Model Building Weaving,"['AIPI Seminar', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Advanced Topics in Design and Technology Innovation', 'Computer Architecture']"
26,100027,Environmental Engineering,Winemaking,Embroidery,Female,Music Production,Japan,Music Production Environmental Engineering Winemaking Embroidery,"['The Arts, Culture, and Performance of New York', 'Physical Chemical Processes in Environmental Engineering', 'Advanced Dance Composition', 'Arts Activism & Everyday Technology', 'Climate Tech Startups and Investors']"
29,100030,AI,Snowboarding,Embroidery,Male,AI/Machine Learning Engineer,Brazil,AI/Machine Learning Engineer AI Snowboarding Embroidery,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Modeling Process and Algorithms', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
32,100033,Computational Mechanics and Scientific Computing,Beekeeping,Embroidery,Female,Transportation Engineer,China,Transportation Engineer Computational Mechanics and Scientific Computing Beekeeping Embroidery,"['Physical Chemical Processes in Environmental Engineering', 'Fundamentals of Game Development', 'Advanced Computer Architecture I', 'Data Science', 'Environmental Transport Phenomena']"
35,100036,AI,Video Gaming,Writing,Male,Data Scientist,United States,Data Scientist AI Video Gaming Writing,"['Deep Learning Applications', 'Writing about Performance', 'Modeling Process and Algorithms', 'Fundamentals of Game Development', 'Sourcing Data for Analytics']"
36,100037,Biomedical Engineering,Photography,Cooking,Female,Biomedical Research,Canada,Biomedical Research Biomedical Engineering Photography Cooking,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'Writing about Performance']"
37,100038,Civil Engineering,Hiking,Drawing,Male,Structural Engineer,United Kingdom,Structural Engineer Civil Engineering Hiking Drawing,"['Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Chemical Fate of Organic Compounds', 'Applied Biological Principles and Processes in Environmental Engineering']"
38,100039,Climate and Sustainability Eng.,Gardening,Knitting,Female,Environmental Advocate,Australia,Environmental Advocate Climate and Sustainability Eng. Gardening Knitting,"['Global Change Biology: From Molecules to Organisms', 'Functional Ecology of Plants', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
40,100041,Cybersecurity,Chess,Scuba Diving,Female,Cybersecurity Analyst,France,Cybersecurity Analyst Cybersecurity Chess Scuba Diving,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
42,100043,Electrical and Computer Eng.,Basketball,Digital Art,Female,AI/Machine Learning Engineer,South Korea,AI/Machine Learning Engineer Electrical and Computer Eng. Basketball Digital Art,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Modeling Process and Algorithms', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
43,100044,Environmental Engineering,Backpacking,Cooking,Male,Renewable Energy Engineer,Brazil,Renewable Energy Engineer Environmental Engineering Backpacking Cooking,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Special Topics in Electrical and Computer Engineering']"
45,100046,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,United States,Video Game Designer Game Design Development & Innov. Video Gaming Drawing,"['Introduction to Algorithms', 'Critical Analysis of Video Games', 'Designing Ethical Tech', 'Interdisciplinary Introduction to Computer Science', 'Computer Architecture']"
48,100049,Medical Technology Design,Photography,Hiking,Female,Biomedical Device Engineer,Australia,Biomedical Device Engineer Medical Technology Design Photography Hiking,"['Modeling Cellular and Molecular Systems', 'History of Computing, Cryptography, and Robotic Devices', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'Writing about Performance']"
51,100052,AI,Writing,Video Gaming,Male,AI Ethics Specialist,Japan,AI Ethics Specialist AI Writing Video Gaming,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'Legal, Societal, and Ethical Implications of AI', 'Fundamentals of Game Development' ]"
52,100053,Biomedical Engineering,Sewing,Pottery,Female,Clinical Engineer,South Korea,Clinical Engineer Biomedical Engineering Sewing Pottery,"['Compiler Construction', 'Introduction to Computer Vision', 'Marketing', 'Special Topics in Electrical and Computer Engineering', 'Data Science']"
54,100055,Cybersecurity,Computer Programming,Chess,Female,Penetration Tester,China,Penetration Tester Cybersecurity Computer Programming Chess,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Introduction to Computer Science']"
56,100057,Environmental Engineering,Gardening,Hiking,Male,Environmental Engineer,Canada,Environmental Engineer Environmental Engineering Gardening Hiking,"['Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
59,100060,Cybersecurity,Web Design,Video Gaming,Male,Security Consultant,Germany,Security Consultant Cybersecurity Web Design Video Gaming,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Critical Analysis of Video Games', 'Security Incident Detection, Response, and Resilience', 'Data Science']"
61,100062,AI,Writing,Chess,Male,Natural Language Processing Eng.,Japan,Natural Language Processing Eng. AI Writing Chess,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Operationalizing AI', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
62,100063,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,South Korea,Clinical Engineer Biomedical Engineering Pottery Embroidery,"['Compiler Construction', 'Introduction to Computer Vision', 'Computer Architecture', 'Writing about Performance', 'Special Topics in Electrical and Computer Engineering']"
68,100069,Biomedical Engineering,Cooking,Photography,Female,Biomedical Research,Australia,Biomedical Research Biomedical Engineering Cooking Photography,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'Writing about Performance']"
69,100070,Electrical and Computer Eng.,Web Design,Basketball,Male,AI/Machine Learning Engineer,Germany,AI/Machine Learning Engineer Electrical and Computer Eng. Web Design Basketball,"['Deep Learning Applications', Programming and Problem Solving', 'Modeling Process and Algorithms', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
70,100071,Mechanical Engineering,Soccer,Wood Working,Male,Robotics Engineer,France,Robotics Engineer Mechanical Engineering Soccer Wood Working,"['Computer Architecture', 'Introduction to Quantum Engineering', 'Introduction to Microelectronic Devices and Circuits', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
71,100072,AI,Writing,Chess,Male,AI Ethics Specialist,Japan,AI Ethics Specialist AI Writing Chess,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
72,100073,Biomedical Engineering,Pottery,Embroidery,Female,Biomedical Device Engineer,South Korea,Biomedical Device Engineer Biomedical Engineering Pottery Embroidery,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'History of Computing, Cryptography, and Robotic Devices']"
73,100074,Civil Engineering,Backpacking,Mountain Biking,Male,Structural Engineer,Brazil,Structural Engineer Civil Engineering Backpacking Mountain Biking,"['Chemical Fate of Organic Compounds', 'Architectural Engineering I', 'Environmental Transport Phenomena', 'Environmental Analytical Chemistry', 'Applied Biological Principles and Processes in Environmental Engineering']"
75,100076,Environmental Engineering,Gardening,Hiking,Female,Environmental Advocate,United States,Environmental Advocate Environmental Engineering Gardening Hiking,"['Climate Tech Startups and Investors', 'Functional Ecology of Plants', 'Resource & Environmental Economics I', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
76,100077,Cybersecurity,Computer Programming,Video Gaming,Male,Cryptographer,Canada,Cryptographer Cybersecurity Computer Programming Video Gaming,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Critical Analysis of Video Games', 'Compiler Construction']"
79,100080,AI,Writing,Chess,Male,Natural Language Processing Eng.,Germany,Natural Language Processing Eng. AI Writing Chess,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Operationalizing AI', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
80,100081,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,France,Clinical Engineer Biomedical Engineering Pottery Embroidery,"['Compiler Construction', 'Data Science', 'Computer Architecture', 'Writing about Performance', 'Introduction to Computer Vision']"
86,100087,Materials Science and Engineering,Pottery,Drawing,Female,Renewable Energy Engineer,Canada,Renewable Energy Engineer Materials Science and Engineering Pottery Drawing,"['Introduction to Quantum Engineering', 'Fundamentals of Microelectronic Devices', 'Climate Tech Startups and Investors', 'Introduction to Robotics and Automation', 'History of Computing, Cryptography, and Robotic Devices']"
87,100088,AI,Video Gaming,Writing,Female,AI Ethics Specialist,United Kingdom,AI Ethics Specialist AI Video Gaming Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'Legal, Societal, and Ethical Implications of AI', 'Fundamentals of Game Development' ]"
88,100089,Cybersecurity,Computer Programming,Chess,Male,Penetration Tester,Australia,Penetration Tester Cybersecurity Computer Programming Chess,"['Compiler Construction', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
90,100091,Environmental Engineering,Gardening,Hiking,Female,Climate Change Analyst,France,Climate Change Analyst Environmental Engineering Gardening Hiking,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Special Topics in Electrical and Computer Engineering']"
92,100093,Biomedical Engineering,Embroidery,Pottery,Female,Biomedical Device Scientist,South Korea,Biomedical Device Engineer Biomedical Engineering Pottery Embroidery,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'History of Computing, Cryptography, and Robotic Devices']"
93,100094,Civil Engineering,Backpacking,Mountain Biking,Male,Structural Engineer,Brazil,Structural Engineer Civil Engineering Backpacking Mountain Biking,"['Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Environmental Transport Phenomena', 'Environmental Analytical Chemistry', 'Chemical Fate of Organic Compounds']"
94,100095,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,China,Video Game Designer Game Design Development & Innov. Video Gaming Drawing,"['Designing Ethical Tech', 'Critical Analysis of Video Games', 'Special Topics in Electrical and Computer Engineering', 'Interdisciplinary Introduction to Computer Science', 'Computer Architecture']"
96,100097,Environmental Engineering,Hiking,Gardening,Male,Renewable Energy Engineer,Canada,Renewable Energy Engineer Environmental Engineering Hiking Gardening,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Marine Protected Area Monitoring and Management']"
98,100099,AI,Writing,Chess,Male,Natural Language Processing Eng.,Australia,Natural Language Processing Eng. AI Writing Chess,"['Deep Learning Applications', 'Writing about Performance', 'Operationalizing AI', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
99,100100,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,Germany,Clinical Engineer Biomedical Engineering Pottery Embroidery,"['Introduction to Computer Vision', 'Data Science', 'Computer Architecture', 'Writing about Performance', 'Special Topics in Electrical and Computer Engineering']"
103,100104,Cybersecurity,Computer Programming,Chess,Female,Security Consultant,Brazil,Security Consultant Cybersecurity Computer Programming Chess,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
105,100106,AI,Video Gaming,Writing,Male,AI/Machine Learning Engineer,United States,AI/Machine Learning Engineer AI Video Gaming Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Modeling Process and Algorithms', 'AIPI Seminar', 'Fundamentals of Game Development']"
106,100107,Mechanical Engineering,Soccer,Wood Working,Female,Robotics Engineer,Canada,Robotics Engineer Mechanical Engineering Soccer Wood Working,"['Computer Architecture', 'Introduction to Quantum Engineering', 'Compiler Construction', 'Data Science', 'Special Topics in Electrical and Computer Engineering']"
108,100109,Environmental Engineering,Hiking,Gardening,Male,Environmental Advocate,Australia,Environmental Advocate Environmental Engineering Hiking Gardening,"['Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Functional Ecology of Plants']"
110,100111,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Analyst,France,Cybersecurity Analyst Cybersecurity Computer Programming Chess,"['Algorithmic Game Theory', 'Identity and Access Management', 'Programming and Problem Solving', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
111,100112,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,Japan,Video Game Designer Game Design Development & Innov. Video Gaming Drawing,"['Introduction to Algorithms', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Critical Analysis of Video Games', 'Computer Architecture']"
112,100113,Biomedical Engineering,Pottery,Embroidery,Female,Biomedical Device Engineer,South Korea,Biomedical Device Engineer Biomedical Engineering Pottery Embroidery,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'History of Computing, Cryptography, and Robotic Devices']"
117,100118,Electrical and Computer Eng.,Web Design,Basketball,Male,AI Ethics Specialist,Italy,AI Ethics Specialist Electrical and Computer Eng. Web Design Basketball,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Modeling Process and Algorithms', 'Legal, Societal, and Ethical Implications of AI', 'Fundamentals of Game Development' ]"
124,100125,AI,Writing,Chess,Male,AI Ethics Specialist,Norway,AI Ethics Specialist AI Writing Chess,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
126,100127,Environmental Engineering,Hiking,Gardening,Male,Renewable Energy Engineer,Canada,Renewable Energy Engineer Environmental Engineering Hiking Gardening,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Deep-Sea Science and Environmental Management', 'Marine Protected Area Monitoring and Management']"
128,100129,AI,Writing,Chess,Male,Natural Language Processing Eng.,Australia,Natural Language Processing Eng. AI Writing Chess,"['Deep Learning Applications', 'Writing about Performance', 'Operationalizing AI', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
129,100130,Biomedical Engineering,Pottery,Embroidery,Female,Clinical Engineer,Germany,Clinical Engineer Biomedical Engineering Pottery Embroidery,"['Compiler Construction', 'Data Science', 'Computer Architecture', 'Writing about Performance', 'Special Topics in Electrical and Computer Engineering']"
133,100134,Cybersecurity,Computer Programming,Chess,Female,Security Consultant,Brazil,Security Consultant Cybersecurity Computer Programming Chess,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
137,100138,Electrical and Computer Eng.,Web Design,Basketball,Male,AI Ethics Specialist,Italy,AI Ethics Specialist Electrical and Computer Eng. Web Design Basketball,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Programming and Problem Solving', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
144,100145,AI,Tennis,Writing,Male,AI Ethics Specialist,Norway,AI Ethics Specialist AI Writing Chess,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
145,100146,AI,Video Gaming,Writing,Male,AI/Machine Learning Engineer,United States,AI/Machine Learning Engineer AI Video Gaming Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Modeling Process and Algorithms', 'AIPI Seminar', 'Fundamentals of Game Development']"
146,100147,Mechanical Engineering,Soccer,Wood Working,Female,Robotics Engineer,Canada,Robotics Engineer Mechanical Engineering Soccer Wood Working,"['Computer Architecture', 'Introduction to Quantum Engineering', 'Compiler Construction', 'Data Science', 'History of Computing, Cryptography, and Robotic Devices']"
148,100149,Environmental Engineering,Hiking,Gardening,Male,Environmental Advocate,Australia,Environmental Advocate Environmental Engineering Hiking Gardening,"['Marine Protected Area Monitoring and Management', 'Climate Tech Startups and Investors', 'Resource & Environmental Economics I', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
150,100151,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Analyst,France,Cybersecurity Analyst Cybersecurity Computer Programming Chess,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Programming and Problem Solving', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
151,100152,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,Japan,Video Game Designer Game Design Development & Innov. Video Gaming Drawing,"['Introduction to Algorithms', 'Designing Ethical Tech', 'Special Topics in Electrical and Computer Engineering', 'Interdisciplinary Introduction to Computer Science', 'Critical Analysis of Video Games']"
152,100153,Biomedical Engineering,Pottery,Embroidery,Female,Biomedical Device Engineer,South Korea,Biomedical Device Engineer Biomedical Engineering Pottery Embroidery,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'History of Computing, Cryptography, and Robotic Devices']"
157,100158,Electrical and Computer Eng.,Graphic Design,Basketball,Male,AI Ethics Specialist,Italy,AI Ethics Specialist Electrical and Computer Eng. Web Design Basketball,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Programming and Problem Solving', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
164,100165,AI,Writing,Chess,Male,AI Ethics Specialist,Norway,AI Ethics Specialist AI Writing Chess,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
165,100166,Biomedical Engineering,Hiking,Wood Working,Female,Biomechanical Engineer,Canada,Biomechanical Engineer Biomedical Engineering Hiking Wood Working,"['Introduction to Computer Vision', 'Introduction to Computer Vision', 'Data Science', 'Special Topics in Electrical and Computer Engineering', 'Computer Architecture']"
167,100168,Civil Engineering,Mountain Biking,Backpacking,Male,Structural Engineer,Australia,Structural Engineer Civil Engineering Mountain Biking Backpacking,"['Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Environmental Transport Phenomena', 'Chemical Fate of Organic Compounds', 'Applied Biological Principles and Processes in Environmental Engineering']"
169,100170,AI,Reading,Writing,Female,AI Ethics Researcher,Germany,AI Ethics Researcher AI Reading Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'Deep Reinforcement Learning Applications', 'Legal, Societal, and Ethical Implications of AI']"
171,100172,Biomedical Engineering,Drawing,Photography,Female,Biomedical Researcher,Japan,Biomedical Researcher Biomedical Engineering Drawing Photography,"['Introduction to Computer Vision', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Introduction to Computer Vision', 'Invention to Application: Healthcare Research Commercialization', 'Writing about Performance']"
172,100173,Environmental Engineering,Hiking,Gardening,Male,Environmental Consultant,South Korea,Environmental Consultant Environmental Engineering Hiking Gardening,"['Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Climate Tech Startups and Investors']"
173,100174,Cybersecurity,Video Gaming,Chess,Male,Cybersecurity Consultant,Brazil,Cybersecurity Consultant Cybersecurity Video Gaming Chess,"['Critical Analysis of Video Games', 'Compiler Construction', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
179,100180,AI,Chess,Writing,Male,AI Research Scientist,Mexico,AI Research Scientist AI Chess Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'AIPI Seminar', 'Deep Reinforcement Learning Applications']"
181,100182,Biomedical Engineering,Photography,Drawing,Male,Medical Device Engineer,South Africa,Medical Device Engineer Biomedical Engineering Photography Drawing,"['Using Real-Time Data to Improve Customer Quality Experience', 'Data Science', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Invention to Application: Healthcare Research Commercialization', 'Signal Processing and Applied Mathematics']"
182,100183,Environmental Engineering,Gardening,Hiking,Female,Environmental Scientist,Sweden,Environmental Scientist Environmental Engineering Gardening Hiking,"['Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
183,100184,Cybersecurity,Computer Programming,Chess,Male,Cybersecurity Engineer,Netherlands,Cybersecurity Engineer Cybersecurity Computer Programming Chess,"['Advanced Computer Architecture I', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
185,100186,AI,Video Gaming,Writing,Male,AI Research Scientist,United States,AI Research Scientist AI Video Gaming Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'Deep Reinforcement Learning Applications', 'Fundamentals of Game Development' ]"
188,100189,Environmental Engineering,Hiking,Gardening,Male,Environmental Consultant,Australia,Environmental Consultant Environmental Engineering Hiking Gardening,"['Global Change Biology: From Molecules to Organisms', 'Resource & Environmental Economics I', 'Tropical Ecology', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Climate Tech Startups and Investors']"
190,100191,Cybersecurity,Computer Programming,Chess,Male,Ethical Hacker,France,Ethical Hacker Cybersecurity Computer Programming Chess,"['Algorithmic Game Theory', 'Identity and Access Management', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
192,100193,Biomedical Engineering,Pottery,Embroidery,Female,Biomechanics Engineer,South Korea,Biomechanics Engineer Biomedical Engineering Pottery Embroidery,"['Advanced Computer Architecture I', 'Physical Chemical Processes in Environmental Engineering', 'Signal Processing and Applied Mathematics', 'Introduction to Computer Vision', 'Compiler Construction']"
